Date,Year,Month,Day,Day_of_the_week,Week,Slot_Start_Time,Slot_End_Time,Slot_Availability,Date_Readable
2024-12-05,2024,December,5,Thursday,48,12:00,13:00,True,Thursday 5 December 2024 12:00
2024-12-05,2024,December,5,Thursday,48,13:00,14:00,True,Thursday 5 December 2024 13:00
2024-12-05,2024,December,5,Thursday,48,14:00,15:00,False,Thursday 5 December 2024 14:00
2024-12-05,2024,December,5,Thursday,48,15:00,16:00,True,Thursday 5 December 2024 15:00
2024-12-06,2024,December,6,Friday,48,09:00,10:00,True,Friday 6 December 2024 09:00
2024-12-06,2024,December,6,Friday,48,10:00,11:00,True,Friday 6 December 2024 10:00
2024-12-06,2024,December,6,Friday,48,11:00,12:00,True,Friday 6 December 2024 11:00
2024-12-06,2024,December,6,Friday,48,12:00,13:00,True,Friday 6 December 2024 12:00
2024-12-06,2024,December,6,Friday,48,13:00,14:00,True,Friday 6 December 2024 13:00
2024-12-06,2024,December,6,Friday,48,14:00,15:00,True,Friday 6 December 2024 14:00
2024-12-06,2024,December,6,Friday,48,15:00,16:00,True,Friday 6 December 2024 15:00
2024-12-07,2024,December,7,Saturday,48,09:00,10:00,False,Saturday 7 December 2024 09:00
2024-12-07,2024,December,7,Saturday,48,10:00,11:00,False,Saturday 7 December 2024 10:00
2024-12-07,2024,December,7,Saturday,48,11:00,12:00,False,Saturday 7 December 2024 11:00
2024-12-07,2024,December,7,Saturday,48,12:00,13:00,False,Saturday 7 December 2024 12:00
2024-12-07,2024,December,7,Saturday,48,13:00,14:00,False,Saturday 7 December 2024 13:00
2024-12-07,2024,December,7,Saturday,48,14:00,15:00,False,Saturday 7 December 2024 14:00
2024-12-07,2024,December,7,Saturday,48,15:00,16:00,False,Saturday 7 December 2024 15:00
2024-12-08,2024,December,8,Sunday,49,09:00,10:00,False,Sunday 8 December 2024 09:00
2024-12-08,2024,December,8,Sunday,49,10:00,11:00,False,Sunday 8 December 2024 10:00
2024-12-08,2024,December,8,Sunday,49,11:00,12:00,False,Sunday 8 December 2024 11:00
2024-12-08,2024,December,8,Sunday,49,12:00,13:00,False,Sunday 8 December 2024 12:00
2024-12-08,2024,December,8,Sunday,49,13:00,14:00,False,Sunday 8 December 2024 13:00
2024-12-08,2024,December,8,Sunday,49,14:00,15:00,False,Sunday 8 December 2024 14:00
2024-12-08,2024,December,8,Sunday,49,15:00,16:00,False,Sunday 8 December 2024 15:00
2024-12-09,2024,December,9,Monday,49,09:00,10:00,True,Monday 9 December 2024 09:00
2024-12-09,2024,December,9,Monday,49,10:00,11:00,True,Monday 9 December 2024 10:00
2024-12-09,2024,December,9,Monday,49,11:00,12:00,False,Monday 9 December 2024 11:00
2024-12-09,2024,December,9,Monday,49,12:00,13:00,False,Monday 9 December 2024 12:00
2024-12-09,2024,December,9,Monday,49,13:00,14:00,False,Monday 9 December 2024 13:00
2024-12-09,2024,December,9,Monday,49,14:00,15:00,True,Monday 9 December 2024 14:00
2024-12-09,2024,December,9,Monday,49,15:00,16:00,True,Monday 9 December 2024 15:00
2024-12-10,2024,December,10,Tuesday,49,09:00,10:00,False,Tuesday 10 December 2024 09:00
2024-12-10,2024,December,10,Tuesday,49,10:00,11:00,True,Tuesday 10 December 2024 10:00
2024-12-10,2024,December,10,Tuesday,49,11:00,12:00,True,Tuesday 10 December 2024 11:00
2024-12-10,2024,December,10,Tuesday,49,12:00,13:00,False,Tuesday 10 December 2024 12:00
2024-12-10,2024,December,10,Tuesday,49,13:00,14:00,False,Tuesday 10 December 2024 13:00
2024-12-10,2024,December,10,Tuesday,49,14:00,15:00,True,Tuesday 10 December 2024 14:00
2024-12-10,2024,December,10,Tuesday,49,15:00,16:00,False,Tuesday 10 December 2024 15:00
2024-12-11,2024,December,11,Wednesday,49,09:00,10:00,True,Wednesday 11 December 2024 09:00
2024-12-11,2024,December,11,Wednesday,49,10:00,11:00,False,Wednesday 11 December 2024 10:00
2024-12-11,2024,December,11,Wednesday,49,11:00,12:00,True,Wednesday 11 December 2024 11:00
2024-12-11,2024,December,11,Wednesday,49,12:00,13:00,True,Wednesday 11 December 2024 12:00
2024-12-11,2024,December,11,Wednesday,49,13:00,14:00,True,Wednesday 11 December 2024 13:00
2024-12-11,2024,December,11,Wednesday,49,14:00,15:00,False,Wednesday 11 December 2024 14:00
2024-12-11,2024,December,11,Wednesday,49,15:00,16:00,False,Wednesday 11 December 2024 15:00
2024-12-12,2024,December,12,Thursday,49,09:00,10:00,True,Thursday 12 December 2024 09:00
2024-12-12,2024,December,12,Thursday,49,10:00,11:00,True,Thursday 12 December 2024 10:00
2024-12-12,2024,December,12,Thursday,49,11:00,12:00,False,Thursday 12 December 2024 11:00
2024-12-12,2024,December,12,Thursday,49,12:00,13:00,False,Thursday 12 December 2024 12:00
2024-12-12,2024,December,12,Thursday,49,13:00,14:00,True,Thursday 12 December 2024 13:00
2024-12-12,2024,December,12,Thursday,49,14:00,15:00,True,Thursday 12 December 2024 14:00
2024-12-12,2024,December,12,Thursday,49,15:00,16:00,False,Thursday 12 December 2024 15:00
2024-12-13,2024,December,13,Friday,49,09:00,10:00,False,Friday 13 December 2024 09:00
2024-12-13,2024,December,13,Friday,49,10:00,11:00,True,Friday 13 December 2024 10:00
2024-12-13,2024,December,13,Friday,49,11:00,12:00,True,Friday 13 December 2024 11:00
2024-12-13,2024,December,13,Friday,49,12:00,13:00,True,Friday 13 December 2024 12:00
2024-12-13,2024,December,13,Friday,49,13:00,14:00,True,Friday 13 December 2024 13:00
2024-12-13,2024,December,13,Friday,49,14:00,15:00,True,Friday 13 December 2024 14:00
2024-12-13,2024,December,13,Friday,49,15:00,16:00,True,Friday 13 December 2024 15:00
2024-12-14,2024,December,14,Saturday,49,09:00,10:00,False,Saturday 14 December 2024 09:00
2024-12-14,2024,December,14,Saturday,49,10:00,11:00,False,Saturday 14 December 2024 10:00
2024-12-14,2024,December,14,Saturday,49,11:00,12:00,False,Saturday 14 December 2024 11:00
2024-12-14,2024,December,14,Saturday,49,12:00,13:00,False,Saturday 14 December 2024 12:00
2024-12-14,2024,December,14,Saturday,49,13:00,14:00,False,Saturday 14 December 2024 13:00
2024-12-14,2024,December,14,Saturday,49,14:00,15:00,False,Saturday 14 December 2024 14:00
2024-12-14,2024,December,14,Saturday,49,15:00,16:00,False,Saturday 14 December 2024 15:00
2024-12-15,2024,December,15,Sunday,50,09:00,10:00,False,Sunday 15 December 2024 09:00
2024-12-15,2024,December,15,Sunday,50,10:00,11:00,False,Sunday 15 December 2024 10:00
2024-12-15,2024,December,15,Sunday,50,11:00,12:00,False,Sunday 15 December 2024 11:00
2024-12-15,2024,December,15,Sunday,50,12:00,13:00,False,Sunday 15 December 2024 12:00
2024-12-15,2024,December,15,Sunday,50,13:00,14:00,False,Sunday 15 December 2024 13:00
2024-12-15,2024,December,15,Sunday,50,14:00,15:00,False,Sunday 15 December 2024 14:00
2024-12-15,2024,December,15,Sunday,50,15:00,16:00,False,Sunday 15 December 2024 15:00
2024-12-16,2024,December,16,Monday,50,09:00,10:00,False,Monday 16 December 2024 09:00
2024-12-16,2024,December,16,Monday,50,10:00,11:00,True,Monday 16 December 2024 10:00
2024-12-16,2024,December,16,Monday,50,11:00,12:00,False,Monday 16 December 2024 11:00
2024-12-16,2024,December,16,Monday,50,12:00,13:00,False,Monday 16 December 2024 12:00
2024-12-16,2024,December,16,Monday,50,13:00,14:00,True,Monday 16 December 2024 13:00
2024-12-16,2024,December,16,Monday,50,14:00,15:00,True,Monday 16 December 2024 14:00
2024-12-16,2024,December,16,Monday,50,15:00,16:00,True,Monday 16 December 2024 15:00
2024-12-17,2024,December,17,Tuesday,50,09:00,10:00,False,Tuesday 17 December 2024 09:00
2024-12-17,2024,December,17,Tuesday,50,10:00,11:00,False,Tuesday 17 December 2024 10:00
2024-12-17,2024,December,17,Tuesday,50,11:00,12:00,True,Tuesday 17 December 2024 11:00
2024-12-17,2024,December,17,Tuesday,50,12:00,13:00,False,Tuesday 17 December 2024 12:00
2024-12-17,2024,December,17,Tuesday,50,13:00,14:00,False,Tuesday 17 December 2024 13:00
2024-12-17,2024,December,17,Tuesday,50,14:00,15:00,True,Tuesday 17 December 2024 14:00
2024-12-17,2024,December,17,Tuesday,50,15:00,16:00,False,Tuesday 17 December 2024 15:00
2024-12-18,2024,December,18,Wednesday,50,09:00,10:00,True,Wednesday 18 December 2024 09:00
2024-12-18,2024,December,18,Wednesday,50,10:00,11:00,True,Wednesday 18 December 2024 10:00
2024-12-18,2024,December,18,Wednesday,50,11:00,12:00,True,Wednesday 18 December 2024 11:00
2024-12-18,2024,December,18,Wednesday,50,12:00,13:00,True,Wednesday 18 December 2024 12:00
2024-12-18,2024,December,18,Wednesday,50,13:00,14:00,True,Wednesday 18 December 2024 13:00
2024-12-18,2024,December,18,Wednesday,50,14:00,15:00,False,Wednesday 18 December 2024 14:00
2024-12-18,2024,December,18,Wednesday,50,15:00,16:00,True,Wednesday 18 December 2024 15:00
2024-12-19,2024,December,19,Thursday,50,09:00,10:00,False,Thursday 19 December 2024 09:00
2024-12-19,2024,December,19,Thursday,50,10:00,11:00,False,Thursday 19 December 2024 10:00
2024-12-19,2024,December,19,Thursday,50,11:00,12:00,False,Thursday 19 December 2024 11:00
2024-12-19,2024,December,19,Thursday,50,12:00,13:00,False,Thursday 19 December 2024 12:00
2024-12-19,2024,December,19,Thursday,50,13:00,14:00,True,Thursday 19 December 2024 13:00
2024-12-19,2024,December,19,Thursday,50,14:00,15:00,True,Thursday 19 December 2024 14:00
2024-12-19,2024,December,19,Thursday,50,15:00,16:00,False,Thursday 19 December 2024 15:00
2024-12-20,2024,December,20,Friday,50,09:00,10:00,True,Friday 20 December 2024 09:00
2024-12-20,2024,December,20,Friday,50,10:00,11:00,True,Friday 20 December 2024 10:00
2024-12-20,2024,December,20,Friday,50,11:00,12:00,True,Friday 20 December 2024 11:00
2024-12-20,2024,December,20,Friday,50,12:00,13:00,False,Friday 20 December 2024 12:00
2024-12-20,2024,December,20,Friday,50,13:00,14:00,False,Friday 20 December 2024 13:00
2024-12-20,2024,December,20,Friday,50,14:00,15:00,True,Friday 20 December 2024 14:00
2024-12-20,2024,December,20,Friday,50,15:00,16:00,True,Friday 20 December 2024 15:00
2024-12-21,2024,December,21,Saturday,50,09:00,10:00,False,Saturday 21 December 2024 09:00
2024-12-21,2024,December,21,Saturday,50,10:00,11:00,False,Saturday 21 December 2024 10:00
2024-12-21,2024,December,21,Saturday,50,11:00,12:00,False,Saturday 21 December 2024 11:00
2024-12-21,2024,December,21,Saturday,50,12:00,13:00,False,Saturday 21 December 2024 12:00
2024-12-21,2024,December,21,Saturday,50,13:00,14:00,False,Saturday 21 December 2024 13:00
2024-12-21,2024,December,21,Saturday,50,14:00,15:00,False,Saturday 21 December 2024 14:00
2024-12-21,2024,December,21,Saturday,50,15:00,16:00,False,Saturday 21 December 2024 15:00
2024-12-22,2024,December,22,Sunday,51,09:00,10:00,False,Sunday 22 December 2024 09:00
2024-12-22,2024,December,22,Sunday,51,10:00,11:00,False,Sunday 22 December 2024 10:00
2024-12-22,2024,December,22,Sunday,51,11:00,12:00,False,Sunday 22 December 2024 11:00
2024-12-22,2024,December,22,Sunday,51,12:00,13:00,False,Sunday 22 December 2024 12:00
2024-12-22,2024,December,22,Sunday,51,13:00,14:00,False,Sunday 22 December 2024 13:00
2024-12-22,2024,December,22,Sunday,51,14:00,15:00,False,Sunday 22 December 2024 14:00
2024-12-22,2024,December,22,Sunday,51,15:00,16:00,False,Sunday 22 December 2024 15:00
2024-12-23,2024,December,23,Monday,51,09:00,10:00,False,Monday 23 December 2024 09:00
2024-12-23,2024,December,23,Monday,51,10:00,11:00,False,Monday 23 December 2024 10:00
2024-12-23,2024,December,23,Monday,51,11:00,12:00,True,Monday 23 December 2024 11:00
2024-12-23,2024,December,23,Monday,51,12:00,13:00,False,Monday 23 December 2024 12:00
2024-12-23,2024,December,23,Monday,51,13:00,14:00,False,Monday 23 December 2024 13:00
2024-12-23,2024,December,23,Monday,51,14:00,15:00,False,Monday 23 December 2024 14:00
2024-12-23,2024,December,23,Monday,51,15:00,16:00,False,Monday 23 December 2024 15:00
2024-12-24,2024,December,24,Tuesday,51,09:00,10:00,False,Tuesday 24 December 2024 09:00
2024-12-24,2024,December,24,Tuesday,51,10:00,11:00,False,Tuesday 24 December 2024 10:00
2024-12-24,2024,December,24,Tuesday,51,11:00,12:00,False,Tuesday 24 December 2024 11:00
2024-12-24,2024,December,24,Tuesday,51,12:00,13:00,False,Tuesday 24 December 2024 12:00
2024-12-24,2024,December,24,Tuesday,51,13:00,14:00,False,Tuesday 24 December 2024 13:00
2024-12-24,2024,December,24,Tuesday,51,14:00,15:00,False,Tuesday 24 December 2024 14:00
2024-12-24,2024,December,24,Tuesday,51,15:00,16:00,False,Tuesday 24 December 2024 15:00
2024-12-25,2024,December,25,Wednesday,51,09:00,10:00,False,Wednesday 25 December 2024 09:00
2024-12-25,2024,December,25,Wednesday,51,10:00,11:00,False,Wednesday 25 December 2024 10:00
2024-12-25,2024,December,25,Wednesday,51,11:00,12:00,False,Wednesday 25 December 2024 11:00
2024-12-25,2024,December,25,Wednesday,51,12:00,13:00,False,Wednesday 25 December 2024 12:00
2024-12-25,2024,December,25,Wednesday,51,13:00,14:00,False,Wednesday 25 December 2024 13:00
2024-12-25,2024,December,25,Wednesday,51,14:00,15:00,False,Wednesday 25 December 2024 14:00
2024-12-25,2024,December,25,Wednesday,51,15:00,16:00,False,Wednesday 25 December 2024 15:00
2024-12-26,2024,December,26,Thursday,51,09:00,10:00,False,Thursday 26 December 2024 09:00
2024-12-26,2024,December,26,Thursday,51,10:00,11:00,False,Thursday 26 December 2024 10:00
2024-12-26,2024,December,26,Thursday,51,11:00,12:00,False,Thursday 26 December 2024 11:00
2024-12-26,2024,December,26,Thursday,51,12:00,13:00,False,Thursday 26 December 2024 12:00
2024-12-26,2024,December,26,Thursday,51,13:00,14:00,False,Thursday 26 December 2024 13:00
2024-12-26,2024,December,26,Thursday,51,14:00,15:00,False,Thursday 26 December 2024 14:00
2024-12-26,2024,December,26,Thursday,51,15:00,16:00,False,Thursday 26 December 2024 15:00
2024-12-27,2024,December,27,Friday,51,09:00,10:00,True,Friday 27 December 2024 09:00
2024-12-27,2024,December,27,Friday,51,10:00,11:00,False,Friday 27 December 2024 10:00
2024-12-27,2024,December,27,Friday,51,11:00,12:00,True,Friday 27 December 2024 11:00
2024-12-27,2024,December,27,Friday,51,12:00,13:00,False,Friday 27 December 2024 12:00
2024-12-27,2024,December,27,Friday,51,13:00,14:00,True,Friday 27 December 2024 13:00
2024-12-27,2024,December,27,Friday,51,14:00,15:00,True,Friday 27 December 2024 14:00
2024-12-27,2024,December,27,Friday,51,15:00,16:00,False,Friday 27 December 2024 15:00
2024-12-28,2024,December,28,Saturday,51,09:00,10:00,False,Saturday 28 December 2024 09:00
2024-12-28,2024,December,28,Saturday,51,10:00,11:00,False,Saturday 28 December 2024 10:00
2024-12-28,2024,December,28,Saturday,51,11:00,12:00,False,Saturday 28 December 2024 11:00
2024-12-28,2024,December,28,Saturday,51,12:00,13:00,False,Saturday 28 December 2024 12:00
2024-12-28,2024,December,28,Saturday,51,13:00,14:00,False,Saturday 28 December 2024 13:00
2024-12-28,2024,December,28,Saturday,51,14:00,15:00,False,Saturday 28 December 2024 14:00
2024-12-28,2024,December,28,Saturday,51,15:00,16:00,False,Saturday 28 December 2024 15:00
2024-12-29,2024,December,29,Sunday,52,09:00,10:00,False,Sunday 29 December 2024 09:00
2024-12-29,2024,December,29,Sunday,52,10:00,11:00,False,Sunday 29 December 2024 10:00
2024-12-29,2024,December,29,Sunday,52,11:00,12:00,False,Sunday 29 December 2024 11:00
2024-12-29,2024,December,29,Sunday,52,12:00,13:00,False,Sunday 29 December 2024 12:00
2024-12-29,2024,December,29,Sunday,52,13:00,14:00,False,Sunday 29 December 2024 13:00
2024-12-29,2024,December,29,Sunday,52,14:00,15:00,False,Sunday 29 December 2024 14:00
2024-12-29,2024,December,29,Sunday,52,15:00,16:00,False,Sunday 29 December 2024 15:00
2024-12-30,2024,December,30,Monday,52,09:00,10:00,False,Monday 30 December 2024 09:00
2024-12-30,2024,December,30,Monday,52,10:00,11:00,False,Monday 30 December 2024 10:00
2024-12-30,2024,December,30,Monday,52,11:00,12:00,False,Monday 30 December 2024 11:00
2024-12-30,2024,December,30,Monday,52,12:00,13:00,False,Monday 30 December 2024 12:00
2024-12-30,2024,December,30,Monday,52,13:00,14:00,False,Monday 30 December 2024 13:00
2024-12-30,2024,December,30,Monday,52,14:00,15:00,False,Monday 30 December 2024 14:00
2024-12-30,2024,December,30,Monday,52,15:00,16:00,True,Monday 30 December 2024 15:00
2024-12-31,2024,December,31,Tuesday,52,09:00,10:00,True,Tuesday 31 December 2024 09:00
2024-12-31,2024,December,31,Tuesday,52,10:00,11:00,True,Tuesday 31 December 2024 10:00
2024-12-31,2024,December,31,Tuesday,52,11:00,12:00,False,Tuesday 31 December 2024 11:00
2024-12-31,2024,December,31,Tuesday,52,12:00,13:00,False,Tuesday 31 December 2024 12:00
2024-12-31,2024,December,31,Tuesday,52,13:00,14:00,True,Tuesday 31 December 2024 13:00
2024-12-31,2024,December,31,Tuesday,52,14:00,15:00,True,Tuesday 31 December 2024 14:00
2024-12-31,2024,December,31,Tuesday,52,15:00,16:00,True,Tuesday 31 December 2024 15:00
